hip,x0,y0,z0,spect
334.0,1035.847,19.235,1805.714,B0
335.0,216.874,4.036,54.41,A0
336.0,140.428,2.615,303.312,K5
337.0,70.81,1.319,-34.413,G5
339.0,144.231,2.691,-243.102,A1 V
340.0,55.721,1.044,-53.797,F6 V
341.0,552.852,10.398,-237.611,G8 IV
342.0,111.625,2.102,-41.895,G0 V
343.0,100.59,1.901,-29.857,K0 III
345.0,112.336,2.127,-62.971,A1 V
346.0,102.643,1.949,-140.832,K1 III
347.0,236.368,4.492,328.693,B 3 V
348.0,56.445,1.074,12.989,G5
349.0,204.03,3.901,-114.899,B8/9 V
351.0,32.615,0.628,-35.066,K0 V
354.0,333.172,6.533,423.913,K0
355.0,597.331,11.735,-110.833,K3 III
356.0,90.139,1.771,-11.014,G0 V
357.0,27.217,0.536,-88.473,F5 V
358.0,105.815,2.105,-435.692,G8 III
360.0,76.009,1.52,233.54,K2
359.0,12.828,0.257,-55.021,G3/5 III/IV(W)
361.0,117.845,2.361,-356.297,K0 III
362.0,424.069,8.517,-149.684,K2 III
363.0,998.954,20.083,949.866,N
364.0,453.356,9.117,-129.076,K0 III
365.0,286.453,5.762,258.815,B 9 III
366.0,491.652,9.891,-297.453,K1 IV
367.0,59.074,1.192,-388.184,A2/3 IV
368.0,281.204,5.675,14.431,K2/3 III
369.0,449.343,9.09,256.585,K0
370.0,204.89,4.147,-258.405,K1 III
373.0,461.327,9.389,-66.368,K3 III
372.0,72.289,1.472,-203.1,K0/1 III
374.0,180.322,3.673,122.872,K0
375.0,23.934,0.488,16.313,null
376.0,178.014,3.64,20.357,K0
378.0,102.091,2.088,27.295,F 5 IV
377.0,57.036,1.167,-169.878,B8 IV/V
379.0,37.47,0.768,89.009,K0
380.0,125.127,2.573,38.43,G5
381.0,214.505,4.438,270.055,A2
382.0,142.294,2.951,-90.186,F0 V
383.0,194.059,4.027,0.191,F2/3 V
384.0,266.975,5.559,7.165,F2 IV/V
385.0,71.812,1.498,56.469,G5
386.0,399.247,8.391,997.837,B2
387.0,879.817,18.554,707.2,F2
388.0,247.379,5.226,27.827,A3
391.0,89.776,1.899,86.627,G0
389.0,202.199,4.277,-115.045,A0 IV
392.0,85.312,1.812,49.437,F5
393.0,215.876,4.591,276.199,K0
395.0,203.959,4.351,-119.004,A0 IV/V
394.0,32.224,0.689,22.285,G2V
396.0,294.429,6.294,-183.998,K2 III
397.0,243.361,5.205,314.365,A0
398.0,222.804,4.78,364.126,B 3 V
399.0,178.713,3.848,89.704,K2
401.0,329.206,7.093,489.229,K5
400.0,24.214,0.522,10.416,G 9 V
402.0,52.468,1.131,111.432,F5
403.0,82.519,1.782,-27.103,G3 V
405.0,572.995,12.398,712.335,K2
404.0,51.218,1.108,52.449,F8V
406.0,578.63,12.565,291.409,M2
407.0,14.988,0.326,-41.669,G5 V
408.0,154.951,3.368,242.989,G 9 III
409.0,35.565,0.774,-100.413,F5 V
410.0,148.804,3.26,78.059,G8III
411.0,693.543,15.214,456.723,K5
412.0,61.479,1.35,141.54,F5
413.0,41.213,0.907,-29.967,G0 V
414.0,224.229,4.941,-385.793,G6 III
415.0,135.328,2.986,22.118,F2
416.0,112.013,2.473,2.029,G5
417.0,144.307,3.189,-1.267,K0 III
418.0,101.378,2.257,185.324,B 8 P HG MN
419.0,134.952,3.012,-123.986,G8/K0 V
420.0,25.936,0.58,-33.386,G0 V
422.0,117.843,2.647,289.417,K0
423.0,130.264,2.93,76.228,F0
424.0,111.519,2.513,112.443,A 1 VN
425.0,32.608,0.735,-63.587,G0 V
427.0,267.609,6.034,-257.149,K1 III
426.0,129.254,2.914,75.644,F0
429.0,88.495,1.997,3.706,G2/3 V
430.0,150.157,3.389,-95.569,K1 III
428.0,8.02,0.181,8.245,M2
431.0,169.027,3.842,124.212,F5
432.0,78.289,1.782,56.004,A2
433.0,549.184,12.577,28.86,G8/K0 (III)
435.0,74.521,1.709,-86.18,F3/5 V
434.0,444.729,10.2,-229.324,F2 V
436.0,6.183,0.143,-15.18,K5 V
437.0,227.922,5.27,257.481,G5
438.0,333.403,7.723,-10.446,G8 III
440.0,63.94,1.488,165.614,B9
441.0,144.571,3.365,-116.507,G8 III/IV
442.0,278.412,6.48,-108.663,B9 V
443.0,42.303,0.985,-4.229,K0 III
444.0,263.677,6.153,-453.431,K2 III
